Date,Opponent,Result,OPS,WHIP,ERA-
3/27,WSN,W,.812,0.80,66
3/29,WSN,W,1.109,1.78,147
3/30,WSN,L,.585,1.13,138
3/31,COL,W,.543,1.50,147
4/2,COL,W,.479,1.75,122
4/3,COL,W,.621,1.88,24
4/4,LAD,W,.583,1.25,57
4/5,LAD,L,.681,0.67,25
4/6,LAD,W,.822,2.13,226
4/8,ATL,L,.752,2.13,193
4/9,ATL,W,.779,1.67,74
4/10,ATL,L,.616,1.10,60
4/11,STL,L,.256,1.75,55
4/12,STL,W,.621,1.22,25
4/13,STL,L,.229,1.38,193
4/14,SFG,L,1.008,1.33,101
4/15,SFG,W,.572,1.75,170
4/16,SFG,L,.906,1.44,101
4/17,SFG,W,.605,1.50,170
4/18,MIA,W,.456,1.63,189
4/19,MIA,W,1.008,2.75,298
4/20,MIA,L,.757,1.30,108
4/21,NYM,L,.631,1.25,138
4/22,NYM,L,.597,1.88,138
4/23,NYM,L,.616,1.34,69
4/25,CHC,L,.489,1.88,111
4/26,CHC,W,.855,1.44,49
4/27,CHC,W,.555,0.40,22
4/29,WSN,W,.860,1.15,180
4/30,WSN,W,.451,1.63,195
5/1,WSN,L,.517,1.22,50
5/2,ARI,W,.648,0.88,82
5/3,ARI,W,.621,1.63,164
5/4,ARI,L,.796,1.90,153
5/6,TBR,W,1.050,0.89,98
5/7,TBR,W,.702,0.56,0
5/8,TBR,W,.736,1.60,111
5/9,CLE,L,.533,1.38,166
5/10,CLE,W,.816,0.78,25
5/11,CLE,W,,,
5/12,STL,L,.625,1.11,50
5/14,STL,W,.512,1.38,56
5/14,STL,L,1.108,1.44,176
5/16,PIT,W,.619,2.13,193
5/17,PIT,W,.421,1.75,135
5/18,PIT,W,.412,0.50,27
5/19,COL,W,1.137,0.67,74
5/20,COL,W,,,
5/21,COL,W,.965,1.56,123
5/22,COL,W,.445,1.11,0
5/23,ATH,W,.632,1.11,74
5/24,ATH,W,.840,2.18,100
5/25,ATH,L,.641,1.63,138
5/27,ATL,W,.406,1.50,55
5/29,ATL,W,.915,1.75,110
5/29,ATL,L,,,
5/30,MIL,L,.911,0.56,49
5/31,MIL,L,1.260,1.11,172
6/1,MIL,L,.659,1.11,49
